,ds,yhat,yhat_lower,yhat_upper
202,2021-11-20 14:38:39,29242095.31268007,15120216.011819305,44726194.72505098
203,2021-11-20 14:38:44,29247600.78044919,16184112.133377122,43329188.667494975
204,2021-11-20 14:38:49,29253106.248218313,15805479.717344306,41955444.29919578
205,2021-11-20 14:38:54,29258611.71598744,14768793.269795416,43239598.43191229
206,2021-11-20 14:38:59,29264117.18375656,15925004.059605796,43471095.00791732
207,2021-11-20 14:39:04,29269622.651525684,15511180.64244944,44632163.99455799
208,2021-11-20 14:39:09,29275128.121005863,16195344.677970998,42285640.46523105
209,2021-11-20 14:39:14,29280633.59048604,16513498.017767094,42631837.54225216
210,2021-11-20 14:39:19,29286139.059966218,16442838.06214669,43133793.08059775
211,2021-11-20 14:39:24,29291644.529446393,15283728.086661847,43199966.35863472
212,2021-11-20 14:39:29,29297149.99892657,15941366.122641616,43156574.788222164
213,2021-11-20 14:39:34,29302655.46840675,13591598.15223132,42079581.494688585
214,2021-11-20 14:39:39,29308160.937886927,16958223.92472453,42620930.174214505
215,2021-11-20 14:39:44,29313666.407367103,13951750.130916167,43111551.65435324
216,2021-11-20 14:39:49,29319171.876847282,15517144.109226268,42425949.98806693
217,2021-11-20 14:39:54,29324677.346327458,15319891.272784648,43351888.03537228
218,2021-11-20 14:39:59,29330182.815807633,15282120.679992592,43231590.621258
219,2021-11-20 14:40:04,29335688.285287816,16095168.197780667,42962401.85825043
220,2021-11-20 14:40:09,29341193.75476799,14999485.677974897,42568913.5594359
221,2021-11-20 14:40:14,29346699.224248167,15234687.17323332,44385375.67786658
222,2021-11-20 14:40:19,29352204.693728346,16328074.503538141,42684648.834989
223,2021-11-20 14:40:24,29357710.163208522,16353663.540536964,43184710.29852694
224,2021-11-20 14:40:29,29363215.632688697,15663271.457434835,43331688.132656164
225,2021-11-20 14:40:34,29368721.10216888,15707762.757008294,43287945.61469793
226,2021-11-20 14:40:39,29374226.571649056,14772431.12415177,42966433.82186624
227,2021-11-20 14:40:44,29379732.04112923,16307359.531810094,42679056.96101528
